rowNumber,Date,Company,Level,Title,TCOMP,Location,YearsOfExperience,YearsOfService,Tag,BaseSalary,StockGrant,Bonus,Gender,CityId
28295,2020-05-10,MICROSOFT,62,Software Engineer,141.0,"Dublin, DN, Ireland",11,1,Site Reliability (SRE),122.0,11.0,8.0,Male,4015
28495,2020-05-13,GOOGLE,Manager (L6),Software Engineering Manager,294.0,"Dublin, DN, Ireland",31,1,Site Reliability (SRE),152.0,108.0,34.0,Male,4015
28943,2020-05-19,INTERCOM,Product Engineer 3,Software Engineer,115.0,"Dublin, DN, Ireland",3,1,Distributed Systems (Back-End),115.0,0.0,0.0,NotDisclosed,4015
29439,2020-05-26,FACEBOOK,IC4,Software Engineer,241.0,"Dublin, DN, Ireland",3,3,Distributed Systems (Back-End),155.0,72.0,14.0,Male,4015
29574,2020-05-28,GENERAL MOTORS,L6,Software Engineer,65.0,"Limerick, LK, Ireland",3,3,Web Development (Front-End),63.0,0.0,2.0,Male,4020
30399,2020-06-09,HUBSPOT,Entry,Software Engineer,76.0,"Dublin, DN, Ireland",1,1,Web Development (Front-End),73.0,3.0,0.0,Female,4015
30998,2020-06-17,INTEL,Grade 6,Hardware Engineer,123.0,"Dublin, DN, Ireland",4,9,Other I u,80.0,43.0,0.0,Male,4015
31162,2020-06-19,EXPEDIA,M,Technical Program Manager,124.0,"Dublin, DN, Ireland",12,7,Web Development (Front-End),74.0,27.0,23.0,Female,4015
32497,2020-07-07,ARM,Senior Engineer,Software Engineer,99.0,"Galway, GY, Ireland",9,2,Software,94.0,0.0,5.0,Male,4018
32890,2020-07-11,STRIPE,L2,Software Engineer,138.0,"Dublin, DN, Ireland",3,1,Security,70.0,60.0,8.0,Male,4015
32901,2020-07-11,AMAZON,Senior SDE,Software Engineer,177.0,"Dublin, DN, Ireland",13,10,Distributed Systems (Back-End),120.0,57.0,0.0,Male,4015
32910,2020-07-11,AWS,6,Technical Program Manager,100.0,"Dublin, DN, Ireland",14,7,Infrastructure ,59.0,41.0,0.0,Male,4015
33601,2020-07-20,INTERCOM,Product Engineer 3,Software Engineer,123.0,"Dublin, DN, Ireland",9,1,Full Stack,123.0,0.0,0.0,Male,4015
33732,2020-07-21,AMAZON,L5,Software Engineer,172.0,"Dublin, DN, Ireland",10,0,API Development (Back-End),149.0,10.0,13.0,Male,4015
33739,2020-07-21,AMAZON,L5,Software Engineer,118.0,"Dublin, DN, Ireland",2,0,Distributed Systems (Back-End),75.0,27.0,16.0,Male,4015
33963,2020-07-23,AMAZON,L4,Software Engineer,73.0,"Dublin, DN, Ireland",0,0,Distributed Systems (Back-End),57.0,11.0,5.0,NotDisclosed,4015
33971,2020-07-23,WORKDAY,P3,Software Engineer,126.0,"Dublin, DN, Ireland",5,2,Web Development (Front-End),99.0,15.0,12.0,Male,4015
34304,2020-07-26,FACEBOOK,IC3,Software Engineer,127.0,"Dublin, DN, Ireland",0,0,Full Stack,94.0,21.0,12.0,Male,4015
34502,2020-07-28,AMAZON,SDE II,Software Engineer,146.0,"Dublin, DN, Ireland",11,1,Distributed Systems (Back-End),121.0,16.0,9.0,Male,4015
34713,2020-07-30,ANALOG DEVICES,E07,Hardware Engineer,66.0,"Limerick, LK, Ireland",5,1,Analog,63.0,0.0,3.0,Male,4020
35747,2020-08-08,AMAZON,L5,Software Engineer,114.0,"Dublin, DN, Ireland",6,3,Distributed Systems (Back-End),54.0,54.0,6.0,Male,4015
36314,2020-08-13,DELOITTE,Senior Software Engineer,Software Engineer,79.0,"Dublin, DN, Ireland",13,2,Full Stack,73.0,0.0,6.0,Male,4015
36835,2020-08-17,QUALCOMM,Senior Engineer,Hardware Engineer,108.0,"Cork, CK, Ireland",2,1,ASIC Design,81.0,19.0,8.0,NotDisclosed,4013
37093,2020-08-19,N/A,Senior,Software Engineer,150.0,"Dublin, DN, Ireland",3,1,Web Development (Front-End),150.0,0.0,0.0,Male,4015
37099,2020-08-19,WORKDAY,Senior SWE,Software Engineer,144.0,"Dublin, DN, Ireland",16,1,DevOps,111.0,26.0,7.0,Male,4015
37137,2020-08-19,SHUTTERSTOCK,L5,Software Engineer,208.0,"Dublin, DN, Ireland",22,1,API Development (Back-End),178.0,15.0,15.0,NotDisclosed,4015
37161,2020-08-19,VMWARE,Staff Engineer 2,Software Engineer,187.0,"Dublin, DN, Ireland",20,5,DevOps,104.0,50.0,33.0,Male,4015
37278,2020-08-20,HUAWEI,17,Software Engineer,124.0,"Dublin, DN, Ireland",10,0,Networking,94.0,0.0,30.0,NotDisclosed,4015
37607,2020-08-22,FACEBOOK,L3,Recruiter,96.0,"Dublin, DN, Ireland",3,1,Tech Recruiter ,86.0,4.0,6.0,NotDisclosed,4015
37796,2020-08-24,APPLE,ICT3,Human Resources,83.0,"Cork, CK, Ireland",11,1,Operations,77.0,6.0,0.0,NotDisclosed,4013
38040,2020-08-25,GOOGLE,L3,Software Engineer,113.0,"Dublin, DN, Ireland",3,5,Site Reliability (SRE),90.0,16.0,7.0,Male,4015
39121,2020-09-02,AMAZON,L5,Software Engineer,66.0,"Dublin, DN, Ireland",3,1,Full Stack,66.0,0.0,0.0,Female,4015
39127,2020-09-02,FACEBOOK,IC4,Software Engineer,99.0,"Dublin, DN, Ireland",7,3,Full Stack,57.0,30.0,12.0,Male,4015
39253,2020-09-02,DELL TECHNOLOGIES,L8,Software Engineer,149.0,"Cork, CK, Ireland",19,2,Full Stack,132.0,0.0,17.0,Male,4013
39674,2020-09-04,IBM,L7,Software Engineer,92.0,"Ireland, IN",20,18,Full Stack,92.0,0.0,0.0,Female,28920
39865,2020-09-05,XILINX,E5,Hardware Engineer,91.0,"Cork, CK, Ireland",5,4,Analog,68.0,17.0,6.0,NotDisclosed,4013
40023,2020-09-06,ZENDESK,Engineering Manager,Software Engineering Manager,77.0,"Dublin, DN, Ireland",12,4,Management,69.0,8.0,0.0,Male,4015
40362,2020-09-09,AMAZON,L4,Software Engineer,124.0,"Dublin, DN, Ireland",0,0,Full Stack,99.0,10.0,15.0,Male,4015
40554,2020-09-10,GOOGLE,L3,Sales,122.0,"Dublin, DN, Ireland",3,1,ML / AI,68.0,16.0,38.0,Male,4015
40606,2020-09-10,NOKIA,Senior Member of Technical Staff,Mechanical Engineer,99.0,"Dublin, DN, Ireland",11,7,Research,84.0,0.0,15.0,Male,4015
41183,2020-09-15,HUBSPOT,L5,Product Manager,180.0,"Dublin, DN, Ireland",9,3,Enterprise,123.0,57.0,0.0,Male,4015
41634,2020-09-18,INTERCOM,Product Engineer 2,Software Engineer,108.0,"Dublin, DN, Ireland",8,0,iOS,76.0,32.0,0.0,Female,4015
41640,2020-09-18,MICROSOFT,60,Sales,115.0,"Dublin, DN, Ireland",6,7,Sales,74.0,6.0,35.0,NotDisclosed,4015
42013,2020-09-21,AMAZON,L6,Product Manager,175.0,"Dublin, DN, Ireland",6,0,Technical,111.0,36.0,28.0,NotDisclosed,4015
42181,2020-09-22,ZALANDO,C7,Software Engineer,78.0,"Dublin, DN, Ireland",10,4,Web Development (Front-End),78.0,0.0,0.0,Male,4015
42537,2020-09-24,WORKDAY,M3,Software Engineering Manager,189.0,"Dublin, DN, Ireland",19,1,Full Stack,166.0,23.0,0.0,Female,4015
42802,2020-09-26,MICROSOFT,65,Software Engineering Manager,219.0,"Dublin, DN, Ireland",20,1,Distributed Systems (Back-End),170.0,21.0,28.0,NotDisclosed,4015
43318,2020-09-30,AMAZON,L4,Software Engineer,127.0,"Dublin, DN, Ireland",0,0,Production,96.0,15.0,16.0,NotDisclosed,4015
44338,2020-10-08,WALMART LABS,E4,Software Engineer,109.0,"Dublin, DN, Ireland",8,2,Distributed Systems (Back-End),81.0,10.0,18.0,Male,4015
44391,2020-10-08,ANALOG DEVICES,e11,Hardware Engineer,66.0,"Cork, CK, Ireland",8,4,Analog,46.0,7.0,13.0,Male,4013
44791,2020-10-12,HPE,Expert,Product Manager,108.0,"Dublin, DN, Ireland",10,5,Enterprise,98.0,3.0,7.0,Male,4015
45505,2020-10-17,IBM,l5,Sales,97.0,"Ireland, IN",1,1,ML / AI,72.0,0.0,25.0,NotDisclosed,28920
46092,2020-10-22,FACEBOOK,IC4,Recruiter,82.0,"Dublin, DN, Ireland",8,2,Technical,67.0,4.0,11.0,Male,4015
46319,2020-10-23,MICROSOFT,59,Software Engineer,90.0,"Dublin, DN, Ireland",2,1,Distributed Systems (Back-End),72.0,10.0,8.0,Female,4015
46935,2020-10-29,AMAZON,L5,Software Engineer,200.0,"Dublin, DN, Ireland",9,1,Distributed Systems (Back-End),161.0,17.0,22.0,Male,4015
47207,2020-10-31,AMAZON,L5,Software Engineer,118.0,"Dublin, DN, Ireland",4,2,Distributed Systems (Back-End),72.0,46.0,0.0,Male,4015
47340,2020-11-02,STRIPE,L3,Software Engineer,153.0,"Dublin, DN, Ireland",12,1,Distributed Systems (Back-End),149.0,0.0,4.0,Male,4015
47699,2020-11-05,MICROSOFT,61,Software Engineer,96.0,"Dublin, DN, Ireland",3,3,Full Stack,65.0,26.0,5.0,Male,4015
47954,2020-11-08,AMAZON,L4,Software Engineer,92.0,"Dublin, DN, Ireland",1,1,API Development (Back-End),70.0,13.0,9.0,NotDisclosed,4015
48103,2020-11-10,STRIPE,L3,Software Engineer,297.0,"Dublin, DN, Ireland",7,3,Security,184.0,96.0,17.0,Male,4015
48206,2020-11-11,GOOGLE,L3,Software Engineer,107.0,"Dublin, DN, Ireland",1,0,Security,90.0,8.0,9.0,NotDisclosed,4015
48400,2020-11-13,AMAZON,L4,Software Engineer,109.0,"Dublin, DN, Ireland",4,0,Distributed Systems (Back-End),84.0,13.0,12.0,Male,4015
48404,2020-11-13,WORKDAY,P3,Software Engineer,88.0,"Dublin, DN, Ireland",4,0,Full Stack,72.0,16.0,0.0,Male,4015
48629,2020-11-16,IBM,Band 7,Software Engineer,82.0,"Dublin, DN, Ireland",5,5,Full Stack,81.0,0.0,1.0,NotDisclosed,4015
49333,2020-11-23,QUALTRICS,L4,Software Engineer,191.0,"Dublin, DN, Ireland",3,2,Full Stack,138.0,46.0,7.0,Male,4015
49878,2020-11-30,INTERCOM,L3,Technical Program Manager,118.0,"Dublin, DN, Ireland",4,4,Security,114.0,4.0,0.0,Female,4015
50125,2020-12-02,AMAZON,L5,Software Engineer,166.0,"Dublin, DN, Ireland",8,4,Distributed Systems (Back-End),103.0,54.0,9.0,Male,4015
50200,2020-12-03,INFOSYS,JL4,Software Engineer,73.0,"Dublin, DN, Ireland",8,4,API Development (Back-End),71.0,0.0,2.0,Male,4015
50206,2020-12-03,AMAZON,L6,Software Engineer,222.0,"Dublin, DN, Ireland",13,2,Site Reliability (SRE),176.0,43.0,3.0,NotDisclosed,4015
50670,2020-12-08,QUALCOMM,Staff Engineer,Hardware Engineer,104.0,"Cork, CK, Ireland",6,3,ASIC Design,71.0,30.0,3.0,NotDisclosed,4013
50848,2020-12-10,MICROSOFT,SDE II,Solution Architect,174.0,"Dublin, DN, Ireland",2,0,Cloud Computing,141.0,10.0,23.0,NotDisclosed,4015
50874,2020-12-10,FACEBOOK,IC4,Software Engineer,86.0,"Dublin, DN, Ireland",4,0,Production,60.0,16.0,10.0,Female,4015
51199,2020-12-14,ANALOG DEVICES,E07,Hardware Engineer,63.0,"Limerick, LK, Ireland",2,1,Analog,60.0,0.0,3.0,NotDisclosed,4020
51317,2020-12-15,AMAZON,L5,Software Engineer,75.0,"Dublin, DN, Ireland",4,3,Data,53.0,22.0,0.0,Male,4015
51462,2020-12-16,MASTERCARD,Director,Software Engineering Manager,125.0,"Dublin, DN, Ireland",11,4,Manage Team of Software Developers,69.0,28.0,28.0,NotDisclosed,4015
52036,2020-12-21,WALMART LABS,E5,Software Engineer,232.0,"Dublin, DN, Ireland",10,1,API Development (Back-End),137.0,59.0,36.0,Male,4015
52414,2020-12-26,SERVICENOW,IC2,Software Engineer,77.0,"Dublin, DN, Ireland",3,1,Full Stack,62.0,7.0,8.0,Male,4015
52503,2020-12-28,INTERCOM,Senior Product Engineer,Software Engineer,130.0,"Dublin, DN, Ireland",4,3,Distributed Systems (Back-End),130.0,0.0,0.0,NotDisclosed,4015
52589,2020-12-29,GOOGLE,L3,Sales,157.0,"Dublin, DN, Ireland",3,3,Growth,110.0,15.0,32.0,Male,4015
52917,2021-01-02,STRIPE,L2,Software Engineer,195.0,"Dublin, DN, Ireland",4,1,Full Stack,122.0,64.0,9.0,Male,4015
52971,2021-01-03,GOOGLE,L5,Software Engineer,187.0,"Dublin, DN, Ireland",4,7,Site Reliability (SRE),70.0,99.0,18.0,Female,4015
53202,2021-01-05,WALMART LABS,E4,Software Engineer,148.0,"Dublin, DN, Ireland",5,2,Web Development (Front-End),84.0,34.0,30.0,Male,4015
53355,2021-01-06,GOOGLE,L3,Software Engineer,156.0,"Dublin, DN, Ireland",2,1,Site Reliability (SRE),105.0,36.0,15.0,Male,4015
53370,2021-01-07,AMAZON,L5,Software Engineer,188.0,"Dublin, DN, Ireland",11,0,API Development (Back-End),158.0,30.0,0.0,NotDisclosed,4015
53843,2021-01-12,FACEBOOK,IC6,Human Resources,242.0,"Dublin, DN, Ireland",9,4,Enterprise,193.0,12.0,37.0,NotDisclosed,4015
53881,2021-01-12,GOOGLE,L2,Sales,80.0,"Dublin, DN, Ireland",4,2,Consumer,40.0,20.0,20.0,Male,4015
54077,2021-01-14,QUANTCAST,L3,Data Scientist,78.0,"Dublin, DN, Ireland",6,0,Data,73.0,1.0,4.0,NotDisclosed,4015
54633,2021-01-19,ZALANDO,C6,Software Engineer,65.0,"Dublin, DN, Ireland",5,0,Distributed Systems (Back-End),59.0,0.0,6.0,NotDisclosed,4015
54635,2021-01-19,WALMART LABS,Software Engineer 3,Software Engineer,79.0,"Dublin, DN, Ireland",4,4,Distributed Systems (Back-End),45.0,22.0,12.0,Male,4015
54770,2021-01-20,AMAZON,L4,Software Engineer,131.0,"Dublin, DN, Ireland",8,0,Distributed Systems (Back-End),105.0,18.0,8.0,Female,4015
54962,2021-01-22,WORKDAY,P4,Software Engineer,138.0,"Dublin, DN, Ireland",7,9,App Dev,76.0,46.0,16.0,Male,4015
54974,2021-01-22,IBM,Band 8,Software Engineer,61.0,"Dublin, DN, Ireland",11,30,ML / AI,61.0,0.0,0.0,Male,4015
55560,2021-01-27,GOOGLE,L3,Software Engineer,72.0,"Dublin, DN, Ireland",0,0,Site Reliability (SRE),46.0,9.0,17.0,Male,4015
55946,2021-01-30,ZALANDO,C8,Software Engineer,225.0,"Dublin, DN, Ireland",15,4,Distributed Systems (Back-End),206.0,17.0,2.0,NotDisclosed,4015
56388,2021-02-03,AMAZON,L5,Software Engineer,133.0,"Dublin, DN, Ireland",9,1,Full Stack,69.0,39.0,25.0,Male,4015
56458,2021-02-03,AMAZON,L4,Software Engineer,124.0,"Dublin, DN, Ireland",1,1,Networking,109.0,12.0,3.0,Male,4015
56670,2021-02-05,APPLE,IC4,Human Resources,91.0,"Cork, CK, Ireland",9,3,hr,48.0,37.0,6.0,NotDisclosed,4013
56792,2021-02-06,FACEBOOK,IC4,Software Engineer,192.0,"Dublin, DN, Ireland",17,4,Full Stack,97.0,85.0,10.0,Male,4015
56944,2021-02-08,AMAZON,L4,Software Engineer,91.0,"Dublin, DN, Ireland",3,1,Full Stack,68.0,23.0,0.0,Male,4015
57131,2021-02-10,INTERCOM,Product Engineer 3,Software Engineer,98.0,"Dublin, DN, Ireland",4,6,Full Stack,98.0,0.0,0.0,NotDisclosed,4015
57149,2021-02-10,GOOGLE,L3,Software Engineer,110.0,"Dublin, DN, Ireland",2,3,Site Reliability (SRE),70.0,21.0,19.0,Male,4015
57608,2021-02-14,GOOGLE,L3,Software Engineer,125.0,"Dublin, DN, Ireland",2,1,Site Reliability (SRE),71.0,39.0,15.0,Male,4015
57711,2021-02-15,AMAZON,L5,Software Engineer,93.0,"Dublin, DN, Ireland",11,0,DevOps,61.0,0.0,32.0,Male,4015
58114,2021-02-18,AMAZON,L5,Software Engineer,220.0,"Dublin, DN, Ireland",9,0,Distributed Systems (Back-End),171.0,34.0,15.0,Male,4015
58591,2021-02-22,MICROSOFT,66,Software Engineering Manager,218.0,"Dublin, DN, Ireland",20,2,Full Stack,130.0,58.0,30.0,NotDisclosed,4015
58635,2021-02-22,JPMORGAN CHASE,Vice President,Software Engineer,162.0,"Dublin, DN, Ireland",12,1,Full Stack,148.0,0.0,14.0,Male,4015
59772,2021-03-02,GENERAL MOTORS,L6,Software Engineer,66.0,"Dublin, DN, Ireland",3,2,Full Stack,63.0,0.0,3.0,Male,4015
59839,2021-03-03,MICROSOFT,63,Software Engineer,141.0,"Dublin, DN, Ireland",15,1,Production,98.0,19.0,24.0,Male,4015
59903,2021-03-03,FACEBOOK,E4,Software Engineer,118.0,"Dublin, DN, Ireland",3,1,Production,70.0,33.0,15.0,Male,4015
60101,2021-03-04,ZENDESK,ZEN3,Software Engineer,90.0,"Dublin, DN, Ireland",8,3,Distributed Systems (Back-End),55.0,32.0,3.0,NotDisclosed,4015
60349,2021-03-06,PINTEREST,L4,Marketing,162.0,"Dublin, DN, Ireland",12,1,Salea,67.0,52.0,43.0,Male,4015
60404,2021-03-07,GOOGLE,L4,Business Analyst,134.0,"Ireland, IN",9,3,Finance,81.0,37.0,16.0,Male,28920
61121,2021-03-11,SHUTTERSTOCK,L3,Software Engineer,141.0,"Ireland, IN",7,0,Distributed Systems (Back-End),127.0,3.0,11.0,Male,28920
61695,2021-03-16,AMAZON,L5,Software Engineer,165.0,"Dublin, DN, Ireland",11,0,Site Reliability (SRE),121.0,23.0,21.0,NotDisclosed,4015
61889,2021-03-17,AMAZON,L4,Software Engineer,72.0,"Dublin, DN, Ireland",0,0,Distributed Systems (Back-End),59.0,8.0,5.0,Male,4015
62121,2021-03-19,VMWARE,L4,Solution Architect,73.0,"Cork, CK, Ireland",0,0,Cloud,57.0,0.0,16.0,Male,4013
62541,2021-03-23,WALMART LABS,Staff Software Engineer,Software Engineer,256.0,"Dublin, DN, Ireland",9,3,Distributed Systems (Back-End),187.0,30.0,39.0,NotDisclosed,4015
63132,2021-03-27,AMAZON,L4,Software Engineer,131.0,"Dublin, DN, Ireland",6,2,Distributed Systems (Back-End),100.0,20.0,11.0,NotDisclosed,4015
63311,2021-03-29,EQUIFAX,P1,Software Engineer,70.0,"Ireland, IN",2,1,API Development (Back-End),70.0,0.0,0.0,Male,28920
63502,2021-03-30,AMAZON,L5,Software Engineer,187.0,"Dublin, DN, Ireland",9,3,Networking,149.0,28.0,10.0,NotDisclosed,4015
63899,2021-04-02,AMAZON,SDE I,Software Engineer,129.0,"Dublin, DN, Ireland",3,0,Distributed Systems (Back-End),114.0,8.0,7.0,NotDisclosed,4015
